cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
96763,PULSE ELECTRONICS CORP,3875,,,,,3679,"Electronic Components, Not Elsewhere Classified"
96793,SUNLINK HEALTH SYSTEMS INC,11,NYSE,NYSE MKT,NYSE MKT,SSY,8062,"Services-General Medical and Surgical Hospitals, Not Elsewhere C"
96831,TECUMSEH PRODUCTS CO,1390,,,,,3585,Air-Conditioning and Warm Air Heating Equipment and Commercial a
96869,TEJON RANCH CO,7545,NYSE,NYSE,NYSE,TRC,6500,Real estate
96879,TEKTRONIX INC,9541,,,,,3825,Instruments for Measuring and Testing of Electricity and Electri
96885,TEL INSTRUMENT ELECTRONICS CORP,774,NYSE,NYSE MKT,NYSE MKT,TIK,3670,Electronic Components And Accessories
96943,TELEFLEX INC,329,NYSE,NYSE,NYSE,TFX,3841,Surgical and Medical Instruments and Apparatus
96988,MARLTON TECHNOLOGIES INC,9603,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
97052,TELTRONICS INC,6756,,,,,3661,Telephone and Telegraph Apparatus
97134,TENNANT CO,3125,NYSE,NYSE,NYSE,TNC,3580,Refrigeration And Service Industry Machinery
97142,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",17067,,,,,4922,Natural Gas Transmission
97148,TEL OFFSHORE TRUST,3975,,,,,6792,Oil Royalty Traders
97196,"AMIC HOLDINGS, INC.",11992,,,,,6321,Accident and Health Insurance
97210,"TERADYNE, INC",1639,NYSE,NYSE,NYSE,TER,3825,Instruments for Measuring and Testing of Electricity and Electri
97216,TEREX CORP,3588,NYSE,NYSE,NYSE,TEX,3537,"Industrial Trucks, Tractors, Trailors and Stackers"
97452,TEXAS GAS TRANSMISSION LLC,17073,,,,,4922,Natural Gas Transmission
97472,TEXAS INDUSTRIES INC,7571,,,,,3241,"Cement, Hydraulic"
97476,TEXAS INSTRUMENTS INC,4121,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,TXN,3674,Semiconductors and Related Devices
97517,TEXAS PACIFIC LAND TRUST,1251,NYSE,NYSE,NYSE,TPL,6792,Oil Royalty Traders
97745,THERMO FISHER SCIENTIFIC INC.,2432,NYSE,NYSE,NYSE,TMO,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
97854,THOMAS & BETTS CORP,5804,,,,,3640,Electric Lighting And Wiring Equipment
97886,THOMAS INDUSTRIES INC,7400,,,,,3640,Electric Lighting And Wiring Equipment
98222,TIDEWATER INC,8561,NYSE,NYSE,NYSE,TDW,4400,Water transportation
98246,TIFFANY & CO,4691,NYSE,NYSE,NYSE,TIF,5944,Retail-Jewelry Stores
98338,TSR INC,7912,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,TSRI,7371,Services-Computer Programming Services
98362,TIMKEN CO,6550,NYSE,NYSE,NYSE,TKR,3562,Ball and Roller Bearings
98537,TODD SHIPYARDS CORP,5986,,,,,3730,Ship And Boat Building And Repairing
98544,"CRUZAN INTERNATIONAL, INC.",549,,,,,2082,Malt Beverages
98618,ALANCO TECHNOLOGIES INC,9555,OTC Markets,OTCQB,OTC,ALAN,4953,Refuse Systems
98677,TOOTSIE ROLL INDUSTRIES INC,10664,NYSE,NYSE,NYSE,TR,2060,Sugar And Confectionery Products
98720,TOREADOR RESOURCES CORP,883,,,,,1311,Crude Petroleum and Natural Gas
98752,TOROTEL INC,6703,OTC Markets,OTC Pink Current,OTC,TTLO,3677,"Electronic Coils, Transformers and Other Inductors"
98788,TOTH ALUMINUM CORP,2647,,,,,2810,Industrial Inorganic Chemicals
98827,TOWER PROPERTIES CO,10424,OTC Markets,OTC Pink Limited,OTC,TPRP,6512,Operators of Nonresidential Buildings
99047,NYFIX INC,9721,,,,,7373,Services-Computer Integrated Systems Design
99102,TRANS INDUSTRIES INC,9203,,,,,3990,Miscellaneous Manufacturing Industries
99106,TRANS LUX CORP,2049,OTC Markets,OTC Pink Current,OTC,TNLX,3990,Miscellaneous Manufacturing Industries
99249,REGENCY AFFILIATES INC,9394,OTC Markets,OTC Pink No Information,OTC,RAFI,3714,Motor Vehicle Parts and Accessories
99250,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",17410,,,,,4922,Natural Gas Transmission
99302,TRANSCAT INC,1295,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,TRNS,3825,Instruments for Measuring and Testing of Electricity and Electri
99313,TRANSNET CORP,9282,,,,,5045,Wholesale-Computers and Peripheral Equipment and Software
99359,BREEZE-EASTERN LLC,592,,,,,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
99506,TSI INC /MT/,24215,,,,,6361,Title Insurance
99771,TRINITY CAPITAL CORP,404949,OTC,Grey Market,OTC,TRIN,6021,National Commercial Banks
99780,TRINITY INDUSTRIES INC,11633,NYSE,NYSE,NYSE,TRN,3743,Railroad Equipment
100122,TUCSON ELECTRIC POWER CO,8855,,,,,4911,Electric Services
100320,CONSUMERS FINANCIAL CORP,4676,,,,,6351,Surety Insurance
100331,21ST CENTURY INSURANCE GROUP,320,,,,,6331,"Fire, Marine and Casualty Insurance"
100378,TWIN DISC INC,7594,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,TWIN,3560,General Industrial Machinery And Equipment
100412,250 WEST 57TH ST ASSOCIATES L.L.C.,24760,,,,,6512,Operators of Nonresidential Buildings
100493,TYSON FOODS INC,3674,NYSE,NYSE,NYSE,TSN,2015,Poultry Slaughtering and Processing
100517,"UNITED CONTINENTAL HOLDINGS, INC.",2471,NYSE,NYSE,NYSE,UAL,4512,"Air Transportation, Scheduled"
100548,UGI UTILITIES INC,28951,,,,,4932,Gas and Other Services Combined
100591,ARGAN INC,11090,NYSE,NYSE,NYSE,AGX,1700,Construction-Special Trade Contractors
100625,SIERRA MONITOR CORP /CA/,2613,OTC Markets,OTCQB,OTC,SRMC,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
100716,UNICO AMERICAN CORP,688,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,UNAM,6331,"Fire, Marine and Casualty Insurance"
100726,UNIFI INC,10620,NYSE,NYSE,NYSE,UFI,2200,Textile mill products
100790,UNION CARBIDE CORP /NEW/,9450,,,,,2860,Industrial Organic Chemicals
100826,UNION ELECTRIC CO,8430,OTC Markets,OTC Pink Current,OTC,UELMO,4911,Electric Services
100858,UNION LIGHT HEAT & POWER CO,16985,,,,,4931,Electric and Other Services Combined
100885,UNION PACIFIC CORP,3564,NYSE,NYSE,NYSE,UNP,4011,"Railroads, Line-Haul Operating"
100923,UNION TANK CAR CO,16547,,,,,3743,Railroad Equipment
100979,ARIS INDUSTRIES INC,4813,,,,,2300,Apparel and Other Finished Products of Fabrics and Similar Mater
101001,"UNITED AIR LINES, INC.",13364,,,,,4512,"Air Transportation, Scheduled"
101063,CHIQUITA BRANDS INTERNATIONAL INC,2923,,,,,100,Agricultural Production-Crops
101116,UNITED COMPONENTS INC,419086,,,,,3714,Motor Vehicle Parts and Accessories
101199,UNITED FIRE GROUP INC,4354,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UFCS,6331,"Fire, Marine and Casualty Insurance"
101271,UNITED INDUSTRIAL CORP /DE/,356,,,,,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
101295,UNITED GUARDIAN INC,11543,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,UG,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
101382,UMB FINANCIAL CORP,674,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UMBF,6021,National Commercial Banks
101390,UNITED MORTGAGE TRUST,32238,,,,,6798,Real Estate Investment Trusts
101462,UNITED REFINING CO,43342,,,,,2911,Petroleum Refining
101538,UNITED STATES ANTIMONY CORP,9028,NYSE,NYSE MKT,NYSE MKT,UAMY,3330,Primary Smelting and Refining of Nonferrous Metals
101594,US ENERGY CORP,531,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,USEG,1311,Crude Petroleum and Natural Gas
101704,TWL CORP,3468,,,,,8200,Services-Educational Services
101778,MARATHON OIL CORP,11509,NYSE,NYSE,NYSE,MRO,1311,Crude Petroleum and Natural Gas
101821,CANAL CAPITAL CORP,9750,OTC Markets,OTC Pink No Information,OTC,COWP,6512,Operators of Nonresidential Buildings
101829,UNITED TECHNOLOGIES CORP /DE/,8836,NYSE,NYSE,NYSE,UTX,3724,Aircraft Engines and Engine Parts
101830,SPRINT CORP,2113,NYSE,NYSE,NYSE,S,4813,Telephone Communications (No Radiotelephone)
101984,UNIVERSAL ELECTRONICS INC,10978,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UEIC,3651,Household Audio and Video Equipment
102037,UNIVERSAL CORP /VA/,3784,NYSE,NYSE,NYSE,UVV,5150,Wholesale-Farm Product Raw Materials
102049,UNIVERSAL MANUFACTURING CO,7074,OTC Markets,OTC Pink No Information,OTC,UFMG,5010,Wholesale-Motor Vehicles and Motor Vehicle Parts and Supplies
102109,UNIVERSAL SECURITY INSTRUMENTS INC,128,NYSE,NYSE MKT,NYSE MKT,UUU,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
102198,CALMARE THERAPEUTICS INC,2938,OTC Markets,OTCQB,OTC,CTTC,3841,Surgical and Medical Instruments and Apparatus
102212,UNIVEST CORP OF PENNSYLVANIA,9715,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UVSP,6022,State Commercial Banks
102379,URS CORP /NEW/,6727,,,,,8711,Services-Engineering Services
102588,SONOMAWEST HOLDINGS INC,6926,,,,,6519,"Lessors of Real Property, Not Elsewhere Classified"
102729,VALMONT INDUSTRIES INC,9388,NYSE,NYSE,NYSE,VMI,3440,Fabricated Structural Metal Products
102741,VALSPAR CORP,2224,,,,,2851,"Paints, Varnishes, Lacquers, Enamels and Allied Prods"
102752,VSE CORP,4965,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,VSEC,8711,Services-Engineering Services
103096,TRC COMPANIES INC /DE/,2079,,,,,8711,Services-Engineering Services
103145,VEECO INSTRUMENTS INC,11608,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,VECO,3559,"Special Industry Machinery, Not Elsewhere Classified"
103341,QUAKER FABRIC CORP /DE/,4904,,,,,2221,"Broadwoven Fabric Mills, Man Made Fiber and Silk"
103379,V F CORP,3281,NYSE,NYSE,NYSE,VFC,2320,"Men's And Boys' Furnishings, Work Clothing, and Allied Garments"
103501,"MVP NETWORK, INC.",40084,,,,,7372,Services-Prepackaged Software
103595,VILLAGE SUPER MARKET INC,5787,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,VLGEA,5411,Retail-Grocery Stores
103682,VIRGINIA ELECTRIC & POWER CO,6309,,,,,4911,Electric Services
103730,VISHAY INTERTECHNOLOGY INC,10900,NYSE,NYSE,NYSE,VSH,3670,Electronic Components And Accessories
103872,"VOLT INFORMATION SCIENCES, INC.",11811,NYSE,NYSE MKT,NYSE MKT,VISI,7363,Services-Help Supply Services
103884,ALEXANDERS J CORP,7381,,,,,5812,Retail-Eating Places
104040,WACOAL HOLDINGS CORP,96086,OTC,Grey Market,OTC,WACLF,2340,"Women's, Misses', Children's and Infants' Undergarments"
104169,WAL MART STORES INC,7329,NYSE,NYSE,NYSE,WMT,5331,Retail-Variety Stores
104224,WALKER FINANCIAL CORP,4931,OTC Markets,Caveat Emptor,OTC,WLKF,7384,Services-Photofinishing Laboratories
104375,SPO NETWORKS INC,82473,OTC Markets,OTC Pink No Information,OTC,SPOI,7371,Services-Computer Programming Services
104401,MEDICAL SOLUTIONS MANAGEMENT INC.,2690,OTC Markets,OTC Pink No Information,OTC,MSMT,3841,Surgical and Medical Instruments and Apparatus
104599,CIRCUIT CITY STORES INC,2212,,,,,5731,"Retail-Radio, Television and Consumer Electronics Stores"
104777,"ALTEVA, INC.",9707,,,,,4813,Telephone Communications (No Radiotelephone)
104819,WASHINGTON GAS LIGHT CO,8622,,,,,4924,Natural Gas Distribution
104889,GRAHAM HOLDINGS CO,6915,NYSE,NYSE,NYSE,GHC,8200,Services-Educational Services
104894,WASHINGTON REAL ESTATE INVESTMENT TRUST,10744,NYSE,NYSE,NYSE,WRE,6798,Real Estate Investment Trusts
104897,"WSI INDUSTRIES, INC.",8906,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,WSCI,3540,Metalworkg Machinery and Equipment
104918,AVISTA CORP,12708,NYSE,NYSE,NYSE,AVA,4931,Electric and Other Services Combined
104987,ZAREBA SYSTEMS INC,2305,,,,,3612,"Power, Distribution and Specialty Transformers"
105006,WJ COMMUNICATIONS INC,10023,,,,,3559,"Special Industry Machinery, Not Elsewhere Classified"
105016,WATSCO INC,7414,NYSE,NYSE,NYSE,WSO,5070,Wholesale-Hardware and Plumbing and Heating Equipment and Suppli
105076,WAUSAU PAPER CORP.,9262,,,,,2621,Paper Mills
105096,WAXMAN INDUSTRIES INC,13976,OTC Markets,OTC Pink No Information,OTC,WXMN,5070,Wholesale-Hardware and Plumbing and Heating Equipment and Suppli
105132,WD 40 CO,1888,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,WDFC,2890,Miscellaneous Chemical Products
105183,WEB PRESS CORP,10416,,,,,3555,Printing Trades Machinery and Equipment
105319,WEIGHT WATCHERS INTERNATIONAL INC,69668,NYSE,NYSE,NYSE,WTW,7200,Services-Personal Services
105418,WEIS MARKETS INC,5863,NYSE,NYSE,NYSE,WMK,5411,Retail-Grocery Stores
105532,WELLCO ENTERPRISES INC,10509,,,,,3140,"Footwear, (No Rubber)"
105608,AG&E HOLDINGS INC.,6518,NYSE,NYSE MKT,OTC,AGNU,3663,Radio and Television Broadcasting and Communications Equipment
105634,EMCOR GROUP INC,11063,NYSE,NYSE,NYSE,EME,1731,Electrical Work
105668,WENDYS INTERNATIONAL INC,5839,,,,,5812,Retail-Eating Places
105729,"WESCO FINANCIAL, LLC",2529,,,,,7359,"Services-Equipment Rental and Leasing, Not Elsewhere Classified"
105744,"NEW CONCEPT ENERGY, INC.",5325,NYSE,NYSE MKT,NYSE MKT,GBR,1311,Crude Petroleum and Natural Gas
105770,WEST PHARMACEUTICAL SERVICES INC,13806,NYSE,NYSE,NYSE,WST,3060,"Fabricated Rubber Products, Not Elsewhere Classified"
105860,AEP TEXAS NORTH CO,1557,,,,,4911,Electric Services
106040,WESTERN DIGITAL CORP,10781,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,WDC,3572,Computer Storage Devices
106170,WESTERN MASSACHUSETTS ELECTRIC CO,1596,,,,,4911,Electric Services
106311,"CATALYST RESOURCE GROUP, INC.",96341,,,,,2300,Apparel and Other Finished Products of Fabrics and Similar Mater
106374,NEW VALLEY CORP,7067,,,,,6500,Real estate
106423,WESTLAND DEVELOPMENT CO INC,23659,,,,,6552,Land Subdividers and Developers (No Cemeteries)
106455,WESTMORELAND COAL CO,4843,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,WLB,1221,Bituminous Coal and Lignite Surface Mining
106532,WEYCO GROUP INC,2062,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,WEYS,5130,"Wholesale-Apparel, Piece Goods and Notions"
106535,WEYERHAEUSER CO,4423,NYSE,NYSE,NYSE,WY,6798,Real Estate Investment Trusts
106618,HANDY & HARMAN LTD.,5919,,,,,3470,"Coating, Engraving and Allied Services"
106640,WHIRLPOOL CORP /DE/,8508,NYSE,NYSE,NYSE,WHR,3630,Household Appliances
106926,WHITNEY HOLDING CORP,1840,,,,,6021,National Commercial Banks
107140,"WILEY JOHN & SONS, INC.",15128,NYSE,NYSE,NYSE,JW'A,2731,"Books: Publishing, or Publishing and Printing"
107263,WILLIAMS COMPANIES INC,6934,NYSE,NYSE,NYSE,WMB,4922,Natural Gas Transmission
107294,WILLIAMS INDUSTRIES INC,5469,OTC Markets,OTC Pink No Information,OTC,WMSI,3440,Fabricated Structural Metal Products
107454,WILSHIRE ENTERPRISES INC,3670,,,,,6513,Operators of Apartment Buildings
107469,WILSON BROTHERS USA INC,24171,,,,,3231,"Glass Products, Made of Purchased Glass"
107681,WINN DIXIE STORES INC,5906,,,,,5411,Retail-Grocery Stores
107687,WINNEBAGO INDUSTRIES INC,9845,NYSE,NYSE,NYSE,WGO,3716,Motor Homes
107815,WISCONSIN ELECTRIC POWER CO,12001,OTC Markets,OTCQB,OTC,WELPM,4911,Electric Services
107832,WISCONSIN POWER & LIGHT CO,7070,,,,,4931,Electric and Other Services Combined
107833,WISCONSIN PUBLIC SERVICE CORP,10415,,,,,4931,Electric and Other Services Combined
108215,WOODHEAD INDUSTRIES INC,6364,,,,,3679,"Electronic Components, Not Elsewhere Classified"
108312,"WOODWARD, INC.",11583,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,WWD,3620,Electrical Industrial Apparatus
108385,WORLD ACCEPTANCE CORP,4751,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,WRLD,6141,Personal Credit Institutions
108516,WORTHINGTON INDUSTRIES INC,9753,NYSE,NYSE,NYSE,WOR,3310,"Steel Works, Blast Furnaces and Rolling and Finishing Mills"
108601,WRIGLEY WM JR CO,8368,,,,,2060,Sugar And Confectionery Products
108633,WULF INTERNATIONAL LTD,70133,,,,,6799,"Investors, Not Elsewhere Classified"
108729,SUN MOTOR INTERNATIONAL INC,7005,,,,,3621,Motors and Generators
108770,XEDAR CORP,7990,OTC Markets,OTC Pink No Information,OTC,XDRC,6770,Blank Checks
108772,XEROX CORP,8827,NYSE,NYSE,NYSE,XRX,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
108976,YORK RESEARCH CORP,7359,,,,,4991,Cogeneration Services and Small Power Producers
108985,YORK WATER CO,9408,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,YORW,4941,Water Supply
109156,ZALE CORP,11420,,,,,5944,Retail-Jewelry Stores
109177,"HRG GROUP, INC.",369,NYSE,NYSE,NYSE,HRG,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
109198,TJX COMPANIES INC /DE/,9226,NYSE,NYSE,NYSE,TJX,5651,Retail-Family Clothing Stores
109261,ZENITH NATIONAL INSURANCE CORP,3859,,,,,6331,"Fire, Marine and Casualty Insurance"
109312,ZIEGLER COMPANIES INC,8491,OTC Markets,OTC Pink Current,OTC,ZGCO,6211,"Security Brokers, Dealers and Flotation Companies"
109380,ZIONS BANCORPORATION /UT/,862,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ZION,6021,National Commercial Banks
109471,AEROSONIC CORP /DE/,11565,,,,,3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nauti"
109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,5946,NYSE,NYSE,NYSE,AIT,5080,"Wholesale-Machinery, Equipment and Supplies"
109657,"GT BIOPHARMA, INC.",10200,OTC Markets,OTCQB,OTC,GTBP,2834,Pharmaceutical Preparations
109757,COMMERCE GROUP CORP /WI/,5142,OTC Markets,OTC Pink No Information,OTC,CGCO,1040,Gold And Silver Ores
109758,ARBITRON INC,8996,,,,,8700,"Services-Engineering, Accounting, Research, Management"
109821,KUBOTA CORP,3412,OTC Markets,OTC Pink Current,OTC,KUBTY,3320,Iron And Steel Foundries
109831,INAMED CORP,1802,,,,,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
109870,GLASSMASTER CO,6090,,,,,2820,"Plastic Material, Synthetic Resin/Rubber, Cellulos (No Glass)"
110019,NORTHWEST PIPELINE LLC,22764,,,,,4922,Natural Gas Transmission
110027,LEAP TECHNOLOGY INC / DE,7337,OTC Markets,OTC Pink Current,OTC,LPTC,6500,Real estate
110101,NORTH SHORE GAS CO /IL/,13765,,,,,4922,Natural Gas Transmission
110104,NORTHERN ILLINOIS GAS CO /IL/ /NEW/,24713,,,,,4922,Natural Gas Transmission
110390,UNILEVER N V,104492,NYSE,NYSE,NYSE,UN,2840,"Soap, Detergents, Cleaning Preparations, Perfumes, Cosmetics"
110430,FRONTIER OIL CORP /NEW/,10920,,,,,2911,Petroleum Refining
110471,WOLVERINE WORLD WIDE INC /DE/,335,NYSE,NYSE,NYSE,WWW,3140,"Footwear, (No Rubber)"
110536,NATIONAL TECHNICAL SYSTEMS INC /CA/,161,,,,,8734,Services-Testing Laboratories
110621,RPM INTERNATIONAL INC/DE/,10189,NYSE,NYSE,NYSE,RPM,2851,"Paints, Varnishes, Lacquers, Enamels and Allied Prods"
110740,WANDERPORT CORP,5924,OTC Markets,OTC Pink Current,OTC,WDRP,3433,"Heating Equipment, Except Electric and Warm Air Furnaces"
200138,CHITTENDEN CORP /VT/,5781,,,,,6022,State Commercial Banks
200155,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",17313,,,,,4922,Natural Gas Transmission
200245,CITIGROUP GLOBAL MARKETS HOLDINGS INC.,44,,,,,6211,"Security Brokers, Dealers and Flotation Companies"
200406,JOHNSON & JOHNSON,10313,NYSE,NYSE,NYSE,JNJ,2834,Pharmaceutical Preparations
200513,METROCORP INC,331648,,,,,6022,State Commercial Banks
201283,REPSOL OIL & GAS CANADA INC.,58582,,,,,1311,Crude Petroleum and Natural Gas
201461,CITY NATIONAL CORP,11877,,,,,6021,National Commercial Banks
201533,CONSUMERS ENERGY CO,7583,NYSE,NYSE,NYSE,CMS.B,4931,Electric and Other Services Combined
201653,DIALYSIS CORP OF AMERICA,11330,,,,,8090,"Services-Miscellaneous Health and Allied Services, Not Elsewhere"
202058,HARRIS CORP /DE/,3545,NYSE,NYSE,NYSE,HRS,3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nauti"
202375,LAZARE KAPLAN INTERNATIONAL INC,8476,,,,,5094,"Wholesale-Jewelry, Watches, Precious Stones and Metals"
202467,MAKITA CORP,109026,OTC Markets,OTC Pink Current,OTC,MKTAY,3540,Metalworkg Machinery and Equipment
202584,"SYSTEM ENERGY RESOURCES, INC",12137,,,,,4911,Electric Services
202685,MONARCH SERVICES INC,4509,OTC Markets,OTC Pink No Information,OTC,MAHI,2721,"Periodicals: Publishing, or Publishing and Printing"
202763,SYNCOR INTERNATIONAL CORP /DE/,5999,,,,,5122,"Wholesale-Drugs, Proprietaries and Druggists' Sundries"
202890,"ALERIS INTERNATIONAL, INC.",1751,,,,,3341,Secondary Smelting and Refining of Nonferrous Metals
202932,PRO-FAC COOPERATIVE INC,9983,,,,,5140,Wholesale-Groceries and Related Products
202947,CAPITAL PROPERTIES INC /RI/,4932,OTC Markets,OTCQX U.S. Premier,OTC,CPTP,6519,"Lessors of Real Property, Not Elsewhere Classified"
202953,PUBLIC STORAGE PROPERTIES LTD,23449,,,,,6519,"Lessors of Real Property, Not Elsewhere Classified"
203077,"ST JUDE MEDICAL, LLC",11034,,,,,3845,Electromedical and Electrotherapeutic Apparatus
203200,METATEC INTERNATIONAL,7591,,,,,3652,Phonograph Records and Prerecorded Audio Tapes and Disks
203248,SOUTHERN UNION CO,10378,,,,,4922,Natural Gas Transmission
203383,TDK CORP,98601,OTC Markets,OTC Pink Current,OTC,TTDKY,3695,Magnetic And Optical Recording Media
203527,VARIAN MEDICAL SYSTEMS INC,8917,NYSE,NYSE,NYSE,VAR,3845,Electromedical and Electrotherapeutic Apparatus
203596,WESBANCO INC,8795,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,WSBC,6021,National Commercial Banks
205239,CATTLESALE CO,1677,,,,,3571,Electronic Computers
205402,GRAYBAR ELECTRIC CO INC,13560,,,,,5063,"Wholesale-Electrical Apparatus and Equipment, Wiring Supplies an"
205462,HYNES & HOWES INSURANCE COUNSELORS INC,39051,,,,,6500,Real estate
205520,KNIGHT RIDDER INC,6250,,,,,2711,"Newspapers: Publishing, or Publishing and Printing"
205695,NATIONWIDE LIFE INSURANCE CO,23441,,,,,6311,Life Insurance
205921,STANDARD ENERGY CORP,11779,OTC Markets,OTC Pink No Information,OTC,STDE,1311,Crude Petroleum and Natural Gas
206030,AXSYS TECHNOLOGIES INC,6893,,,,,3827,Optical Instruments and Lenses
215219,VOYAGER LEARNING CO,31767,,,,,2741,Miscellaneous Publishing
215403,CERES GROUP INC,4860,,,,,6311,Life Insurance
215419,CHECKPOINT SYSTEMS INC,8255,,,,,3669,"Communications Equipment, Not Elsewhere Classified"
215466,"COEUR MINING, INC.",10761,NYSE,NYSE,NYSE,CDE,1040,Gold And Silver Ores
215639,DVL INC /DE/,2643,OTC Markets,OTC Pink No Information,OTC,DVLN,6798,Real Estate Investment Trusts
215913,WCM CAPITAL INC,2621,,,,,1040,Gold And Silver Ores
216039,GRUBB & ELLIS CO,2238,,,,,6531,Real Estate Agents and Managers (For Others)
216085,HAVERTY FURNITURE COMPANIES INC,593,NYSE,NYSE,NYSE,HVT,5712,Retail-Furniture Stores
216228,ITT INC.,836,NYSE,NYSE,NYSE,ITT,3561,Pumps and Pumping Equipment
216275,JLG INDUSTRIES INC,2003,,,,,3531,Construction Machinery and Equipment
216324,IMAGE ENTERTAINMENT INC,9382,,,,,7822,Services-Motion Picture and Video Tape Distribution
216539,MEDIA GENERAL INC,8815,,,,,4833,Television Broadcasting Stations
216593,"APERTURE HEALTH, INC.",113245,OTC Markets,OTC Pink Limited,OTC,APRE,8090,"Services-Miscellaneous Health and Allied Services, Not Elsewhere"
216748,OAKRIDGE ENERGY INC,11585,OTC Markets,OTC Pink No Information,OTC,OAKR,1311,Crude Petroleum and Natural Gas
216877,PISMO COAST VILLAGE INC,24815,,,,,7000,"Hotels, Rooming Houses, Camps and Other Lodging Places"
217084,APPLICA INC,4834,,,,,3634,Electric Housewares and Fans
217209,"OYCO, INC.",470441,OTC Markets,Caveat Emptor,OTC,OYCO,7389,"Services-Business Services, Not Elsewhere Classified"
217222,SCANNER TECHNOLOGIES CORP,11666,,,,,3559,"Special Industry Machinery, Not Elsewhere Classified"
217346,TEXTRON INC,7162,NYSE,NYSE,NYSE,TXT,3720,Aircraft And Parts
217410,UNILEVER PLC,58622,NYSE,NYSE,NYSE,UL,2840,"Soap, Detergents, Cleaning Preparations, Perfumes, Cosmetics"
225051,ARDEN GROUP INC,10154,,,,,5411,Retail-Grocery Stores
225211,"ONE HORIZON GROUP, INC.",3471,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,OHGI,3661,Telephone and Telegraph Apparatus
225263,NEWPORT CORP,115,,,,,3821,Laboratory Apparatus and Furniture
225501,"MEDLINK INTERNATIONAL, INC.",4608,OTC Markets,Caveat Emptor,OTC,MLKNA,7372,Services-Prepackaged Software
225628,"PASSUR AEROSPACE, INC.",1415,OTC Markets,OTC Pink Current,OTC,PSSR,3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nauti"
225648,COVANTA HOLDING CORP,11015,NYSE,NYSE,NYSE,CVA,4991,Cogeneration Services and Small Power Producers
225868,ROBOTIC VISION SYSTEMS INC,9677,,,,,3823,"Industrial Instruments for Measurement, Display, and Control of "
225926,"BLUESTAR HEALTH, INC.",11878,,,,,2860,Industrial Organic Chemicals
230131,COMDIAL CORP,8724,,,,,3661,Telephone and Telegraph Apparatus
230211,FEDERAL EXPRESS CORP,860,,,,,4513,Air Courier Services
230463,PXP PRODUCING CO LLC,2281,,,,,1311,Crude Petroleum and Natural Gas
230498,ROCK-TENN CO,9069,,,,,2650,Paperboard Containers And Boxes
230557,SELECTIVE INSURANCE GROUP INC,9789,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SIGI,6331,"Fire, Marine and Casualty Insurance"
275053,NATURES SUNSHINE PRODUCTS INC,7917,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,NATR,2834,Pharmaceutical Preparations
275119,"NICOLET BANKSHARES, INC.",2642,,,,,6022,State Commercial Banks
